borough,complaint,date,crew,hours,lat,lon,reopened
Brooklyn,Noise,2024-10-25,2,2.8,40.6727,-73.9922,False
Manhattan,Heat,2024-05-13,1,10.3,40.7525,-73.9697,False
Staten Is.,Parking,2024-01-08,1,18.2,40.52,-74.1313,False
Staten Is.,Water,2024-03-12,2,19.0,40.5457,-74.1675,True
Manhattan,Heat,2024-02-07,5,2.4,40.8078,-73.9362,False
Queens,Water,2024-08-17,3,5.2,40.6881,-73.7517,True
Staten Is.,Parking,2024-10-21,4,5.5,40.5662,-74.1626,False
Manhattan,Street,2024-03-18,2,7.0,40.7866,-73.9275,False
Queens,Street,2024-07-13,2,8.1,40.7567,-73.7376,False
Brooklyn,Noise,2024-06-23,5,10.7,40.6495,-73.9362,False
Queens,Noise,2024-06-09,4,14.2,40.717,-73.8196,False
Brooklyn,Noise,2024-11-19,3,8.8,40.6335,-73.9061,False
Bronx,Street,2024-04-07,2,12.4,40.8989,-73.875,False
Queens,Parking,2024-08-15,5,4.8,40.752,-73.8014,False
Manhattan,Noise,2024-07-16,3,15.9,40.7771,-73.9666,False
Brooklyn,Noise,2024-11-15,1,15.6,40.6081,-73.9662,False
Bronx,Parking,2024-03-21,5,8.0,40.8263,-73.8379,False
Brooklyn,Parking,2024-12-06,3,11.7,40.6674,-73.9267,False
Staten Is.,Heat,2024-11-09,3,19.8,40.5584,-74.1135,True
Manhattan,Noise,2024-06-12,2,19.2,40.8068,-73.9526,False
Staten Is.,Heat,2024-10-27,2,7.5,40.5908,-74.1738,True
Staten Is.,Noise,2024-08-24,4,6.7,40.5888,-74.1548,False
Staten Is.,Street,2024-04-27,2,13.1,40.5996,-74.1237,False
Bronx,Water,2024-11-07,3,3.3,40.865,-73.8822,False
Bronx,Water,2024-01-09,1,14.4,40.8243,-73.7824,True
Manhattan,Noise,2024-02-20,5,1.5,40.7702,-73.9773,False
Brooklyn,Heat,2024-11-19,2,2.3,40.7202,-73.9676,False
Staten Is.,Street,2024-10-16,4,7.8,40.5438,-74.1155,False
Brooklyn,Water,2024-04-19,2,3.2,40.6358,-73.9276,False
Bronx,Heat,2024-12-25,1,22.3,40.882,-73.8708,False
Bronx,Noise,2024-08-27,1,11.6,40.8452,-73.8769,False
Brooklyn,Street,2024-03-29,4,10.0,40.6256,-73.9372,False
Queens,Water,2024-11-09,1,26.3,40.6803,-73.7649,False
Bronx,Street,2024-12-27,4,6.7,40.8661,-73.8471,False
Queens,Street,2024-10-18,3,12.0,40.7506,-73.799,False
Brooklyn,Heat,2024-08-16,3,7.3,40.692,-73.937,True
Brooklyn,Parking,2024-11-10,2,3.6,40.6516,-73.9247,False
Queens,Water,2024-10-21,2,10.3,40.7513,-73.7671,False
Staten Is.,Heat,2024-06-27,4,6.7,40.549,-74.2426,False
Manhattan,Parking,2024-10-03,5,3.8,40.785,-73.9967,True
Queens,Water,2024-11-03,5,4.9,40.6997,-73.8133,True
Brooklyn,Noise,2024-01-13,4,1.6,40.6552,-73.9569,False
Bronx,Parking,2024-06-17,2,12.0,40.8725,-73.8646,True
Staten Is.,Heat,2024-12-07,1,74.1,40.6121,-74.1224,False
Queens,Water,2024-04-06,3,3.1,40.6903,-73.7715,False
Queens,Heat,2024-08-12,3,3.2,40.758,-73.7938,True
Staten Is.,Street,2024-06-24,3,31.3,40.5658,-74.1493,False
Manhattan,Street,2024-08-02,3,11.1,40.7492,-73.9172,False
Bronx,Heat,2024-05-02,1,63.3,40.8449,-73.8884,False
Manhattan,Noise,2024-08-20,2,22.7,40.7361,-73.9609,False
Manhattan,Parking,2024-10-07,1,5.3,40.7801,-73.923,False
Brooklyn,Noise,2024-09-26,5,10.5,40.6587,-73.9396,False
Queens,Water,2024-10-30,5,4.7,40.714,-73.8513,False
Brooklyn,Water,2024-04-02,5,2.2,40.6661,-73.9388,False
Queens,Parking,2024-02-21,3,10.7,40.7106,-73.8016,True
Queens,Street,2024-07-16,5,5.3,40.7201,-73.7934,False
Bronx,Street,2024-03-01,5,5.8,40.8068,-73.8385,False
Manhattan,Heat,2024-08-17,2,3.4,40.7813,-73.9559,False
Queens,Parking,2024-05-20,1,76.6,40.6945,-73.7979,True
Bronx,Water,2024-09-19,5,3.6,40.8365,-73.8432,False
Queens,Heat,2024-06-18,3,12.9,40.7172,-73.7769,False
Staten Is.,Heat,2024-07-24,3,1.3,40.5857,-74.1468,False
Staten Is.,Street,2024-12-15,5,1.3,40.5306,-74.141,True
Queens,Parking,2024-08-17,5,5.9,40.6731,-73.7824,False
Staten Is.,Heat,2024-12-09,5,7.1,40.5709,-74.1602,False
Brooklyn,Noise,2024-03-29,1,11.6,40.6642,-73.9638,False
Brooklyn,Noise,2024-12-18,1,33.4,40.6608,-73.9492,False
Bronx,Parking,2024-03-19,3,3.9,40.8768,-73.8986,False
Queens,Noise,2024-09-23,3,4.3,40.759,-73.8278,False
Brooklyn,Street,2024-01-17,2,5.7,40.6649,-73.911,True
Staten Is.,Water,2024-09-04,2,4.1,40.5794,-74.1572,False
Manhattan,Water,2024-11-17,3,1.8,40.7491,-73.9707,False
Staten Is.,Street,2024-04-08,4,5.2,40.5516,-74.1541,False
Bronx,Noise,2024-02-27,4,10.2,40.836,-73.8693,False
Bronx,Parking,2024-05-16,1,32.3,40.858,-73.8693,False
Brooklyn,Parking,2024-01-25,2,40.2,40.6566,-73.948,False
Bronx,Heat,2024-01-01,2,8.4,40.8501,-73.8941,True
Manhattan,Water,2024-06-05,2,13.2,40.7754,-73.942,False
Queens,Heat,2024-10-31,5,2.0,40.7389,-73.8108,False
Queens,Water,2024-05-27,3,7.1,40.7262,-73.759,False
Brooklyn,Noise,2024-04-10,3,12.9,40.6589,-74.0076,False
Bronx,Parking,2024-03-22,5,4.9,40.8593,-73.9018,False
Manhattan,Parking,2024-01-29,3,3.2,40.7636,-73.9402,False
Queens,Noise,2024-05-23,4,2.1,40.6891,-73.7944,False
Staten Is.,Water,2024-04-25,5,2.4,40.5947,-74.1701,False
Staten Is.,Noise,2024-06-12,5,1.5,40.5925,-74.1387,False
Brooklyn,Water,2024-04-27,2,3.3,40.6434,-73.9814,False
Bronx,Parking,2024-08-03,3,7.5,40.8375,-73.8677,False
Brooklyn,Street,2024-09-21,1,6.0,40.7184,-74.0165,True
Staten Is.,Heat,2024-01-05,4,2.5,40.5572,-74.1636,False
Manhattan,Street,2024-01-03,2,13.2,40.7735,-73.9895,False
Staten Is.,Street,2024-04-11,1,3.1,40.588,-74.1338,True
Queens,Noise,2024-03-24,1,30.0,40.6854,-73.7637,True
Manhattan,Street,2024-02-02,1,8.0,40.7835,-73.9956,True
Bronx,Heat,2024-11-23,1,5.5,40.9039,-73.8217,True
Manhattan,Heat,2024-02-02,1,15.2,40.808,-73.9878,True
Brooklyn,Water,2024-11-08,3,4.3,40.669,-74.0117,False
Staten Is.,Water,2024-01-25,2,7.7,40.5978,-74.2214,False
Bronx,Parking,2024-08-17,5,9.8,40.8534,-73.8238,False
Bronx,Parking,2024-05-19,3,6.9,40.8788,-73.8726,False
Queens,Water,2024-07-23,3,4.5,40.7153,-73.8094,False
Queens,Water,2024-07-09,3,8.7,40.7073,-73.8124,False
Staten Is.,Heat,2024-03-22,4,5.9,40.5831,-74.1828,True
Manhattan,Heat,2024-02-07,4,2.0,40.8072,-73.9294,False
Brooklyn,Water,2024-11-15,2,6.5,40.6599,-73.9525,False
Brooklyn,Water,2024-09-23,4,2.9,40.6702,-73.8963,False
Brooklyn,Noise,2024-10-04,3,2.1,40.5893,-73.956,False
Queens,Water,2024-08-13,4,4.6,40.7558,-73.8605,False
Manhattan,Water,2024-07-06,4,2.9,40.8502,-73.9447,False
Brooklyn,Noise,2024-11-06,4,4.2,40.69,-73.961,False
Brooklyn,Water,2024-02-28,3,6.9,40.6405,-73.9571,False
Queens,Heat,2024-08-09,1,11.3,40.6945,-73.743,False
Brooklyn,Parking,2024-03-19,5,10.0,40.6583,-73.9579,False
Brooklyn,Water,2024-08-25,5,4.4,40.6204,-73.9151,False
Brooklyn,Noise,2024-05-18,3,5.5,40.6718,-73.9501,False
Staten Is.,Water,2024-06-04,3,6.9,40.5642,-74.1726,False
Manhattan,Water,2024-04-30,1,47.2,40.8088,-73.9548,False
Manhattan,Noise,2024-08-05,3,2.6,40.8209,-73.988,True
Bronx,Street,2024-01-23,3,11.0,40.789,-73.8332,False
Brooklyn,Parking,2024-10-08,4,1.9,40.6588,-73.9212,True
Queens,Parking,2024-05-28,3,9.5,40.6991,-73.7881,False
Queens,Heat,2024-12-23,1,6.2,40.6777,-73.7717,False
Manhattan,Street,2024-06-12,1,16.0,40.7615,-73.9531,False
Staten Is.,Street,2024-02-14,3,3.6,40.5734,-74.1583,False
Brooklyn,Water,2024-04-14,4,3.4,40.681,-73.9231,False
Bronx,Street,2024-06-16,5,7.3,40.8044,-73.8768,True
Bronx,Parking,2024-05-20,5,7.9,40.8815,-73.8515,False
Bronx,Heat,2024-04-06,3,6.4,40.9105,-73.8985,False
Queens,Water,2024-05-01,1,11.5,40.7379,-73.7869,False
Staten Is.,Heat,2024-09-24,5,7.2,40.5964,-74.1375,False
Bronx,Parking,2024-05-17,3,2.3,40.8496,-73.8937,False
Manhattan,Water,2024-02-26,5,1.0,40.7447,-73.9824,False
Bronx,Noise,2024-08-13,4,4.5,40.866,-73.8859,False
Staten Is.,Heat,2024-09-26,2,8.9,40.5915,-74.1281,False
Bronx,Heat,2024-06-30,3,7.5,40.8719,-73.8915,False
Queens,Noise,2024-09-21,3,6.4,40.7971,-73.7767,False
Bronx,Parking,2024-03-13,2,48.4,40.8718,-73.8241,False
Queens,Parking,2024-02-22,4,2.4,40.7328,-73.7792,True
Staten Is.,Noise,2024-10-17,2,7.0,40.6269,-74.1982,False
Queens,Noise,2024-10-15,4,2.7,40.6796,-73.7861,False
Brooklyn,Parking,2024-07-06,3,12.4,40.6157,-73.9186,False
Staten Is.,Heat,2024-06-26,3,3.4,40.5687,-74.1584,False
Brooklyn,Street,2024-06-16,4,1.7,40.6304,-73.9165,False
Queens,Water,2024-03-21,1,16.8,40.7408,-73.7713,False
Staten Is.,Water,2024-09-17,3,3.9,40.5705,-74.1372,False
Manhattan,Parking,2024-05-19,1,24.3,40.8322,-73.9776,False
Queens,Heat,2024-10-01,1,2.2,40.7656,-73.8051,False
Staten Is.,Noise,2024-06-10,5,6.8,40.6031,-74.1574,False
Bronx,Street,2024-11-05,5,4.7,40.8384,-73.8679,False
Bronx,Noise,2024-11-05,4,3.6,40.8685,-73.854,False
Manhattan,Heat,2024-10-23,5,2.3,40.8043,-73.9571,True
Bronx,Water,2024-04-08,4,6.4,40.818,-73.8787,False
Staten Is.,Parking,2024-09-01,1,15.3,40.5905,-74.1477,False
Staten Is.,Street,2024-10-02,2,12.7,40.6012,-74.1381,False
Brooklyn,Parking,2024-09-20,2,30.1,40.6565,-73.9984,False
Brooklyn,Noise,2024-11-16,4,5.0,40.6971,-73.9727,False
Queens,Noise,2024-02-27,1,40.4,40.7564,-73.8136,False
Manhattan,Heat,2024-08-27,4,7.4,40.7552,-73.9758,False
Bronx,Heat,2024-09-12,5,2.3,40.8537,-73.8779,False
Queens,Noise,2024-05-10,1,45.5,40.6949,-73.7974,False
Queens,Parking,2024-04-02,5,6.5,40.7374,-73.8158,False
Bronx,Street,2024-07-25,4,2.1,40.824,-73.8494,False
Queens,Water,2024-04-04,1,24.4,40.7477,-73.7813,False
Manhattan,Water,2024-08-02,3,20.6,40.7916,-74.0189,False
Staten Is.,Heat,2024-02-13,2,18.5,40.6091,-74.1492,False
Staten Is.,Water,2024-05-24,4,8.3,40.5756,-74.1834,False
Queens,Water,2024-05-24,1,13.6,40.6763,-73.7385,False
Brooklyn,Street,2024-09-24,3,6.4,40.703,-73.9632,False
Brooklyn,Noise,2024-01-08,3,9.0,40.6448,-73.9614,False
Queens,Parking,2024-05-12,3,3.5,40.7613,-73.787,False
Bronx,Water,2024-08-27,5,0.7,40.8629,-73.8755,False
Brooklyn,Heat,2024-06-30,5,11.0,40.6702,-73.9513,False
Manhattan,Street,2024-09-30,1,11.1,40.8349,-73.9231,False
Staten Is.,Street,2024-11-13,4,13.8,40.5902,-74.1427,False
Queens,Parking,2024-10-10,1,16.8,40.762,-73.7645,False
Staten Is.,Water,2024-05-02,1,9.1,40.5355,-74.1157,False
Bronx,Parking,2024-02-17,3,2.4,40.8761,-73.8987,False
Brooklyn,Noise,2024-02-01,5,7.9,40.6427,-73.8988,False
Brooklyn,Heat,2024-08-21,3,5.0,40.646,-73.9288,False
Queens,Street,2024-02-16,3,1.9,40.7203,-73.7608,False
Manhattan,Water,2024-11-01,4,6.4,40.7904,-73.9954,False
Brooklyn,Street,2024-07-30,3,6.4,40.6997,-73.925,False
Queens,Water,2024-01-14,3,3.8,40.6644,-73.7771,False
Queens,Street,2024-10-15,4,2.7,40.7213,-73.8056,False
Staten Is.,Parking,2024-03-11,1,10.9,40.5585,-74.081,False
Manhattan,Parking,2024-12-28,5,3.9,40.815,-73.9525,False
Bronx,Heat,2024-04-07,2,6.4,40.8373,-73.8766,False
Staten Is.,Parking,2024-07-19,3,2.3,40.5937,-74.1436,False
Bronx,Water,2024-06-17,5,7.7,40.8381,-73.8421,True
Bronx,Noise,2024-05-08,4,11.8,40.87,-73.8355,False
Queens,Parking,2024-03-03,4,4.2,40.7504,-73.772,False
Manhattan,Heat,2024-01-23,5,3.9,40.7681,-73.9329,False
Queens,Noise,2024-07-15,1,38.5,40.7215,-73.7453,False
Bronx,Parking,2024-12-24,3,3.7,40.8074,-73.9065,False
Queens,Noise,2024-05-05,5,5.0,40.7292,-73.804,False
Manhattan,Parking,2024-04-19,2,22.3,40.8057,-73.9976,False
Staten Is.,Water,2024-08-27,2,8.0,40.5633,-74.1465,False
Queens,Water,2024-12-30,5,0.5,40.7536,-73.7461,False
Staten Is.,Noise,2024-07-12,4,1.6,40.5178,-74.1298,False
Queens,Heat,2024-12-19,2,5.3,40.6645,-73.8208,False
Staten Is.,Parking,2024-09-07,1,19.0,40.5384,-74.1582,False
Bronx,Heat,2024-10-18,3,1.2,40.8355,-73.8385,False
Queens,Heat,2024-03-30,5,0.9,40.7206,-73.8053,True
Queens,Heat,2024-07-20,3,8.7,40.7176,-73.7923,False
Brooklyn,Noise,2024-09-15,1,30.7,40.648,-73.9403,True
Brooklyn,Street,2024-05-12,3,5.7,40.6717,-74.004,False
Queens,Heat,2024-09-25,3,14.1,40.7058,-73.766,False
Bronx,Heat,2024-05-21,4,10.3,40.8121,-73.8591,False
Bronx,Street,2024-09-20,4,9.7,40.8127,-73.8523,False
Staten Is.,Heat,2024-06-14,2,3.1,40.6434,-74.1788,False
Queens,Noise,2024-01-25,3,21.2,40.6494,-73.8124,False
Manhattan,Parking,2024-02-05,3,1.7,40.7747,-73.9873,True
Queens,Parking,2024-12-11,1,14.9,40.7637,-73.7819,False
Brooklyn,Water,2024-08-20,3,0.5,40.6645,-73.9473,False
Queens,Parking,2024-07-29,1,24.5,40.6951,-73.7856,False
Brooklyn,Parking,2024-10-08,1,16.4,40.6501,-73.8956,False
Manhattan,Parking,2024-04-09,2,15.4,40.8059,-73.9302,False
Bronx,Noise,2024-05-13,5,3.1,40.8862,-73.891,False
Brooklyn,Noise,2024-06-07,1,6.3,40.623,-73.969,False
Brooklyn,Street,2024-08-28,5,3.6,40.6728,-73.8979,False
Manhattan,Heat,2024-07-07,2,2.4,40.7876,-73.9789,False
Manhattan,Noise,2024-04-09,5,14.1,40.8131,-73.928,True
Bronx,Noise,2024-07-07,1,3.6,40.8917,-73.8214,False
Brooklyn,Parking,2024-05-16,4,7.7,40.6397,-73.9657,True
Staten Is.,Parking,2024-03-31,3,2.4,40.5365,-74.1575,False
Manhattan,Noise,2024-03-11,2,5.1,40.7919,-73.9669,False
Manhattan,Street,2024-04-06,2,6.0,40.8333,-73.9953,False
Bronx,Water,2024-07-15,3,11.1,40.8706,-73.8987,False
Brooklyn,Heat,2024-05-12,3,6.6,40.6569,-73.9614,True
Staten Is.,Noise,2024-06-03,4,5.3,40.652,-74.1238,False
Manhattan,Street,2024-10-12,2,2.6,40.7488,-73.9828,False
Bronx,Street,2024-09-10,2,17.3,40.8771,-73.8756,False
Queens,Parking,2024-06-08,1,15.7,40.7029,-73.8034,False
Queens,Street,2024-07-28,2,6.7,40.7215,-73.8303,True
Brooklyn,Parking,2024-01-15,2,25.1,40.6527,-73.9049,False
Bronx,Water,2024-05-29,5,7.4,40.8954,-73.9397,True
Staten Is.,Street,2024-06-14,4,5.1,40.5519,-74.169,False
Brooklyn,Street,2024-04-18,4,8.4,40.6339,-73.9326,False
Staten Is.,Parking,2024-03-14,2,3.3,40.5322,-74.1913,False
Brooklyn,Parking,2024-09-27,2,8.6,40.6646,-73.9313,False
Brooklyn,Parking,2024-01-05,3,7.5,40.6363,-73.9118,False
Queens,Parking,2024-12-22,3,4.7,40.7327,-73.8152,True
Bronx,Noise,2024-12-22,4,2.8,40.8178,-73.8631,False
Bronx,Parking,2024-08-16,5,3.6,40.8392,-73.9027,False
Queens,Heat,2024-04-17,3,2.3,40.7512,-73.7742,False
Staten Is.,Noise,2024-04-17,2,9.0,40.5748,-74.1468,True
Staten Is.,Street,2024-07-15,5,8.5,40.5988,-74.1429,False
Bronx,Street,2024-09-01,3,9.7,40.8658,-73.8284,False
Bronx,Heat,2024-05-10,5,4.8,40.8394,-73.8553,False
Brooklyn,Street,2024-06-09,2,6.2,40.6032,-73.909,False
Queens,Noise,2024-01-20,2,35.5,40.7496,-73.7704,False
Staten Is.,Street,2024-11-19,1,21.0,40.5851,-74.1854,False
Staten Is.,Parking,2024-11-24,4,1.9,40.6095,-74.1416,False
Brooklyn,Noise,2024-04-05,3,25.2,40.5896,-73.9347,False
Staten Is.,Water,2024-12-07,2,36.3,40.5304,-74.1928,True
Brooklyn,Heat,2024-11-05,3,7.1,40.5857,-73.9094,False
Bronx,Water,2024-03-09,1,31.5,40.8237,-73.8674,False
Manhattan,Parking,2024-02-25,5,5.5,40.8113,-73.9584,False
Bronx,Parking,2024-06-01,3,7.6,40.867,-73.8963,False
Queens,Street,2024-09-09,2,17.8,40.719,-73.7872,False
Staten Is.,Noise,2024-05-16,4,2.9,40.5839,-74.1404,False
Bronx,Noise,2024-09-24,4,3.0,40.8728,-73.8792,False
Bronx,Parking,2024-03-02,5,1.7,40.8409,-73.867,False
Bronx,Street,2024-12-04,4,6.8,40.8619,-73.933,False
Bronx,Parking,2024-08-29,1,20.1,40.8542,-73.8286,False
Manhattan,Noise,2024-04-01,3,6.3,40.7144,-74.0029,False
Manhattan,Noise,2024-10-12,4,10.0,40.7685,-74.0349,False
Staten Is.,Parking,2024-05-29,5,2.6,40.6208,-74.1782,False
Manhattan,Noise,2024-10-04,3,5.9,40.7681,-73.9945,False
Staten Is.,Street,2024-09-13,5,5.7,40.5757,-74.1331,False
Queens,Heat,2024-09-03,1,67.0,40.7018,-73.8168,False
Staten Is.,Heat,2024-02-14,2,33.2,40.5655,-74.1409,True
Bronx,Parking,2024-01-07,5,6.7,40.8837,-73.8982,False
Manhattan,Noise,2024-09-12,1,22.2,40.772,-73.9032,False
Staten Is.,Heat,2024-03-24,4,8.1,40.5493,-74.1331,True
Queens,Noise,2024-01-25,2,16.4,40.6267,-73.7308,False
Brooklyn,Heat,2024-07-06,1,40.1,40.6328,-73.9799,False
Staten Is.,Street,2024-12-07,1,19.7,40.521,-74.1295,True
Queens,Parking,2024-09-13,5,1.1,40.6653,-73.8181,False
Bronx,Heat,2024-04-19,5,6.6,40.8739,-73.8521,False
Bronx,Water,2024-05-21,1,14.0,40.8713,-73.8491,False
Brooklyn,Noise,2024-09-11,4,5.1,40.5925,-73.9973,False
Manhattan,Street,2024-06-12,1,11.0,40.8055,-74.0036,True
Bronx,Street,2024-07-22,5,4.8,40.8638,-73.9045,False
Bronx,Street,2024-11-02,2,2.9,40.8265,-73.9146,False
Bronx,Heat,2024-01-21,1,16.0,40.872,-73.8914,False
Brooklyn,Heat,2024-01-09,5,6.7,40.6012,-73.9783,False
Brooklyn,Parking,2024-11-20,5,3.4,40.6139,-73.9929,False
Brooklyn,Heat,2024-04-08,1,15.6,40.6068,-73.9466,False
Manhattan,Water,2024-10-27,2,23.9,40.7467,-73.9532,True
Queens,Water,2024-04-15,5,17.6,40.7464,-73.829,False
Brooklyn,Noise,2024-11-05,2,9.0,40.61,-73.9663,False
Manhattan,Heat,2024-12-28,4,4.1,40.7455,-73.9693,False
Queens,Heat,2024-12-02,5,1.7,40.6914,-73.7965,True
Bronx,Water,2024-03-24,1,25.8,40.8559,-73.8906,True
Staten Is.,Heat,2024-07-07,3,13.3,40.5698,-74.1253,False
Staten Is.,Street,2024-01-18,3,8.5,40.6059,-74.1242,False
Brooklyn,Parking,2024-04-07,5,2.8,40.6287,-73.9292,True
Staten Is.,Street,2024-06-01,3,9.9,40.5413,-74.1559,False
Brooklyn,Parking,2024-01-14,5,4.2,40.6349,-73.89,True
Staten Is.,Street,2024-08-25,3,5.1,40.581,-74.0974,False
Queens,Street,2024-03-11,3,2.7,40.692,-73.8017,False
Brooklyn,Heat,2024-02-25,4,6.9,40.6582,-73.9533,False
Bronx,Water,2024-08-25,5,4.2,40.9043,-73.834,True
Brooklyn,Noise,2024-11-02,4,12.1,40.6324,-73.9736,False
Queens,Heat,2024-12-29,4,3.0,40.7211,-73.7777,False
Brooklyn,Parking,2024-03-12,5,4.4,40.6903,-73.9483,False
Manhattan,Parking,2024-10-10,4,7.1,40.7603,-73.9908,False
Bronx,Heat,2024-09-14,1,13.4,40.8243,-73.8766,False
Manhattan,Parking,2024-10-23,5,3.2,40.7468,-74.0168,False
Bronx,Water,2024-02-29,5,3.3,40.8616,-73.886,False
Staten Is.,Street,2024-06-23,2,13.6,40.595,-74.2096,False
Manhattan,Heat,2024-11-17,3,19.5,40.7751,-73.9013,False
Staten Is.,Parking,2024-07-28,4,7.4,40.5808,-74.1045,False
Bronx,Parking,2024-03-14,4,1.3,40.8877,-73.8329,False
Bronx,Street,2024-01-01,4,2.4,40.8755,-73.8607,False
Bronx,Heat,2024-09-23,5,3.9,40.8074,-73.8398,False
Manhattan,Water,2024-01-25,1,33.7,40.7791,-73.9316,False
Staten Is.,Water,2024-11-02,5,4.8,40.5825,-74.1193,True
Queens,Noise,2024-08-28,3,10.6,40.7409,-73.7622,False
Manhattan,Water,2024-04-03,2,5.4,40.7726,-73.9971,False
Staten Is.,Street,2024-03-18,2,47.1,40.5599,-74.1369,False
Bronx,Street,2024-02-03,3,5.4,40.8355,-73.8858,False
Bronx,Noise,2024-05-03,2,2.5,40.7959,-73.9052,False
Queens,Parking,2024-08-01,5,4.2,40.7184,-73.8241,True
Staten Is.,Water,2024-04-21,3,21.5,40.5613,-74.137,True
Brooklyn,Street,2024-07-01,5,1.8,40.6632,-73.9182,False
Brooklyn,Parking,2024-08-17,4,7.8,40.6183,-73.9909,True
Manhattan,Noise,2024-06-23,2,14.2,40.766,-73.9175,False
Queens,Parking,2024-04-01,3,18.7,40.6897,-73.7458,False
Brooklyn,Heat,2024-10-12,5,5.2,40.6171,-73.9613,False
Staten Is.,Noise,2024-09-19,4,9.4,40.6,-74.1638,True
Manhattan,Street,2024-06-18,3,8.5,40.7651,-73.9721,False
Queens,Street,2024-03-06,4,7.3,40.7323,-73.7604,False
Queens,Parking,2024-06-30,2,4.7,40.6854,-73.8014,False
Manhattan,Water,2024-05-11,2,3.9,40.7818,-74.0031,False
Manhattan,Heat,2024-06-26,4,6.1,40.7282,-73.9596,False
Staten Is.,Water,2024-02-15,1,20.3,40.5645,-74.2119,False
Brooklyn,Street,2024-06-14,3,7.6,40.6338,-73.9457,False
Staten Is.,Heat,2024-01-19,3,15.6,40.5963,-74.1152,False
Queens,Heat,2024-05-28,3,2.1,40.7242,-73.7808,True
Bronx,Water,2024-09-12,2,9.9,40.8435,-73.8466,False
Staten Is.,Water,2024-02-28,2,22.0,40.6039,-74.1352,False
Brooklyn,Water,2024-02-16,1,6.6,40.6545,-73.9281,False
Bronx,Water,2024-04-17,3,3.0,40.8649,-73.8656,False
Brooklyn,Street,2024-11-26,4,0.8,40.6717,-73.9749,False
Bronx,Street,2024-04-06,1,31.8,40.8467,-73.8767,True
Brooklyn,Water,2024-12-09,1,28.0,40.6399,-73.9522,False
Bronx,Parking,2024-03-31,1,4.9,40.8585,-73.8322,False
Manhattan,Water,2024-01-21,5,8.8,40.7662,-73.9212,False
Staten Is.,Street,2024-10-12,4,3.4,40.5903,-74.1374,False
Staten Is.,Street,2024-02-13,1,15.4,40.6119,-74.1726,False
Staten Is.,Noise,2024-02-11,3,9.5,40.6043,-74.1719,False
Brooklyn,Street,2024-07-13,3,11.7,40.6372,-73.9556,False
Brooklyn,Street,2024-03-15,4,2.2,40.6101,-73.9083,False
Queens,Water,2024-08-08,2,12.1,40.717,-73.78,False
Staten Is.,Water,2024-07-11,5,3.8,40.5749,-74.1517,False
Staten Is.,Water,2024-09-17,3,17.2,40.6118,-74.173,False
Brooklyn,Water,2024-04-24,2,5.4,40.6372,-73.9235,True
Queens,Street,2024-04-12,3,17.0,40.7124,-73.7813,False
Manhattan,Noise,2024-03-28,2,1.7,40.8006,-73.9715,False
Manhattan,Heat,2024-09-30,3,10.4,40.7643,-73.9669,False
Manhattan,Water,2024-05-16,2,27.5,40.7738,-73.9194,False
Manhattan,Parking,2024-11-07,3,10.8,40.8299,-73.9748,False
Staten Is.,Noise,2024-07-02,2,24.1,40.6232,-74.0993,False
Queens,Noise,2024-10-16,3,13.5,40.7375,-73.7527,False
Bronx,Noise,2024-09-03,4,1.3,40.8566,-73.8684,False
Queens,Parking,2024-09-09,4,3.0,40.6896,-73.7635,True
Brooklyn,Heat,2024-12-20,2,22.5,40.6653,-73.9537,True
Brooklyn,Water,2024-06-14,3,8.2,40.6503,-73.9749,True
Manhattan,Water,2024-11-07,2,9.1,40.7852,-73.978,False
Staten Is.,Water,2024-10-27,2,26.0,40.5631,-74.1772,False
Bronx,Noise,2024-06-05,4,7.1,40.8482,-73.8547,False
Manhattan,Street,2024-09-11,4,1.8,40.7731,-73.9696,False
Brooklyn,Parking,2024-06-13,1,21.5,40.658,-73.933,False
Staten Is.,Water,2024-08-31,2,7.3,40.6213,-74.1252,False
Manhattan,Parking,2024-05-31,1,8.5,40.7894,-74.0636,False
Staten Is.,Heat,2024-06-28,5,3.3,40.5289,-74.1407,False
Staten Is.,Noise,2024-03-28,4,3.5,40.5495,-74.2041,True
Bronx,Parking,2024-08-20,1,19.7,40.8012,-73.865,False
Queens,Street,2024-12-13,4,4.7,40.6948,-73.8163,False
Queens,Heat,2024-05-09,2,7.6,40.7353,-73.7869,False
Staten Is.,Parking,2024-01-26,2,6.8,40.5906,-74.109,False
Staten Is.,Parking,2024-09-15,3,6.7,40.5606,-74.2012,True
Queens,Noise,2024-03-15,4,4.4,40.7265,-73.7843,False
Staten Is.,Heat,2024-09-11,4,5.0,40.5559,-74.1524,True
Queens,Water,2024-08-29,1,19.2,40.676,-73.8468,False
Brooklyn,Water,2024-12-12,4,2.4,40.6065,-73.9306,False
Staten Is.,Water,2024-08-03,3,7.7,40.5528,-74.149,False
Queens,Street,2024-02-13,5,1.5,40.7611,-73.8053,False
Queens,Street,2024-04-11,3,9.8,40.6784,-73.8117,False
Staten Is.,Street,2024-04-09,5,11.9,40.6158,-74.0536,False
Queens,Parking,2024-12-07,2,9.2,40.7583,-73.8018,False
Brooklyn,Street,2024-11-09,4,5.3,40.6431,-74.004,False
Brooklyn,Heat,2024-05-29,2,38.5,40.6471,-73.9779,True
Brooklyn,Heat,2024-11-16,5,3.7,40.6302,-73.961,False
Bronx,Parking,2024-08-05,4,1.9,40.8478,-73.8815,False
